"ID","Reads","FinalKingdom","FinalPhylum","FinalClass","FinalOrder","FinalFamily","FinalGenus","FinalSpecies","Calcify","TaxaFrequency","Acid1","Acid15","Acid25","Acid36","Acid39","Acid7","AcidHeat16","AcidHeat20","AcidHeat21","AcidHeat24","AcidHeat33","AcidHeat4","Control10","Control17","Control23","Control26","Control9","Heat18","Heat22","Heat3","Heat31","Heat8"
"OTU_1",111313,"Metazoa","MOLLUSCA","Gastropoda","Littorinimorpha","Hipponicidae","Antisabia","","Yes",2,88,38,850,618,0,814,0,1771,1037,5150,0,0,4054,3963,158,11973,6017,4684,1778,6558,1062,27912
"OTU_100",12681,"Metazoa","ANNELIDA","Polychaeta","Eunicida","Eunicidae","Nematonereis","","No",2,0,0,3860,0,0,0,26,411,382,739,63,85,80,454,82,708,53,693,750,48,2050,204
"OTU_102",4781,"Metazoa","ANNELIDA","Polychaeta","Terebellida","Cirratulidae","Dodecaceria","","No",2,0,0,0,0,0,0,0,0,6,0,0,4637,0,0,0,0,0,0,17,95,0,0
"OTU_1024",15,"Metazoa","ANNELIDA","Polychaeta","Terebellida","Ctenodrilidae","Ctenodrilus","","No",2,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_105",4354,"Metazoa","ARTHROPODA","Hexanauplia","","","","","No",5,463,29,40,196,1366,629,29,0,0,0,0,160,18,0,19,283,0,125,196,137,230,0
"OTU_1054",19,"Metazoa","ARTHROPODA","Hexanauplia","","","","","No",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
"OTU_109",4315,"Metazoa","ARTHROPODA","","","","","","UNK",6,4087,0,0,0,35,13,0,0,0,11,0,0,0,0,0,28,31,0,0,98,0,0
"OTU_11",55643,"Metazoa","ANNELIDA","Polychaeta","Terebellida","Cirratulidae","Timarete","Timarete punctata","No",1,0,0,0,0,0,0,0,344,0,0,0,0,0,366,0,0,0,0,425,0,27646,0
"OTU_110",7321,"Metazoa","CNIDARIA","Hydrozoa","Leptothecata","Campanulariidae","Clytia","","No",2,31,0,665,0,0,0,477,15,63,208,136,0,0,159,14,48,79,100,41,539,210,2554
"OTU_111",11366,"Metazoa","PORIFERA","Demospongiae","Suberitida","Halichondridae","Hymeniacidon","","No",2,0,944,0,776,0,167,0,0,0,0,0,107,0,3108,180,795,0,166,28,0,2657,0
"OTU_1119",13,"Plantae","OCHROPHYTA","Phaeophyceae","Ectocarpales","","","","No",4,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1120",8,"Plantae","RHODOPHYTA","Florideophyceae","","","","","UNK",5,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1125",16,"Metazoa","PORIFERA","","","","","","No",6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_113",4215,"Metazoa","ANNELIDA","Polychaeta","Phyllodocida","Syllidae","","","No",3,31,0,0,0,0,0,0,0,0,38,243,894,0,0,10,337,44,235,81,0,306,979
"OTU_115",7021,"Metazoa","ANNELIDA","Polychaeta","","","","","No",5,0,0,0,0,7020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_116",7759,"Metazoa","ANNELIDA","Polychaeta","Phyllodocida","","","","No",4,0,0,4,0,0,0,0,7547,0,0,0,0,0,0,0,23,0,167,0,0,0,0
"OTU_1162",15,"Metazoa","ARTHROPODA","Hexanauplia","","","","","No",5,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_117",3764,"Metazoa","ANNELIDA","","","","","","UNK",6,3434,0,0,0,0,0,0,0,0,84,0,41,0,16,0,113,0,0,0,64,0,0
"OTU_118",3817,"Metazoa","ANNELIDA","","","","","","UNK",6,0,0,0,0,0,0,0,73,0,1133,200,0,611,11,0,0,0,0,0,0,945,28
"OTU_1197",72,"Metazoa","ANNELIDA","Polychaeta","Amphinomida","Amphinomidae","Pareurythoe","","No",2,0,0,0,0,0,0,0,0,0,0,31,0,0,0,8,0,0,0,0,0,0,0
"OTU_12",90439,"Metazoa","ARTHROPODA","Malacostraca","Amphipoda","Gammaridae","","Gammaridae sp. KML 32","Mild",1,5764,2753,375,8069,1593,5485,3477,6940,2661,2640,1213,2449,241,1687,344,248,90,6486,674,8540,8610,1999
"OTU_120",5438,"Plantae","RHODOPHYTA","Florideophyceae","","","","","UNK",5,0,0,0,0,0,0,0,177,0,47,67,0,0,0,0,0,0,2738,36,0,355,92
"OTU_124",3640,"Metazoa","ANNELIDA","Polychaeta","Sabellida","Sabellidae","Amphiglena","","Yes",2,36,0,0,0,0,0,0,0,0,0,235,0,0,0,0,0,0,0,0,0,1740,0
"OTU_1247",194,"Metazoa","ANNELIDA","Polychaeta","","","","","No",5,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_127",3418,"Metazoa","ANNELIDA","Polychaeta","Amphinomida","Amphinomidae","","","No",3,0,0,0,0,0,0,0,0,321,326,0,0,0,0,0,2710,0,0,0,0,55,0
"OTU_128",5052,"Metazoa","PORIFERA","","","","","","No",6,0,0,93,0,2177,0,0,616,0,0,0,0,0,0,0,0,0,0,15,0,1143,0
"OTU_131",7703,"Metazoa","MOLLUSCA","Gastropoda","Littorinimorpha","Vermetidae","Dendropoma","Dendropoma rhyssoconchum","Yes",1,52,0,16,0,0,97,0,0,0,0,0,0,0,0,0,998,0,0,0,0,2550,971
"OTU_132",5798,"Metazoa","PORIFERA","Demospongiae","Dendroceratida","Dictyodendrillidae","","","No",3,0,0,0,0,0,0,875,203,4,2975,0,719,0,0,0,0,0,0,0,0,64,608
"OTU_133",2638,"Plantae","RHODOPHYTA","Florideophyceae","Gigartinales","","","","No",4,0,0,0,0,0,0,0,13,6,78,166,0,0,553,11,765,170,244,45,246,0,0
"OTU_1338",30,"Metazoa","ARTHROPODA","Hexanauplia","Harpacticoida","","","","No",4,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
"OTU_134",3651,"Metazoa","MOLLUSCA","Gastropoda","Trochida","Trochidae","Trochus","Trochus intextus","Yes",1,0,0,11,0,21,2489,20,71,12,0,65,78,43,8,0,0,29,0,0,73,99,323
"OTU_1357",23,"Metazoa","ANNELIDA","","","","","","UNK",6,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0
"OTU_137",3160,"Metazoa","CHORDATA","Ascidiacea","","","","","No",5,0,0,0,0,155,0,65,0,0,0,0,2107,211,0,171,0,298,0,0,62,49,0
"OTU_1386",19,"Metazoa","ARTHROPODA","","","","","","UNK",6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_140",5822,"Metazoa","MOLLUSCA","Gastropoda","Littorinimorpha","Vermetidae","Dendropoma","Dendropoma rhyssoconchum","Yes",1,42,9,42,17,731,26,60,34,9,317,139,46,252,97,10,0,74,70,77,57,1817,197
"OTU_141",2656,"Metazoa","ARTHROPODA","","","","","","UNK",6,53,0,221,0,0,0,0,0,7,0,0,18,0,11,0,2194,0,0,36,0,57,0
"OTU_142",2437,"Metazoa","PORIFERA","Demospongiae","Suberitida","Suberitidae","","","No",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1246,253,0
"OTU_143",2366,"Metazoa","CNIDARIA","Anthozoa","Actiniaria","Hormathiidae","","","No",3,0,0,0,2273,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_145",4728,"Metazoa","PORIFERA","Demospongiae","Tethyida","Tethyidae","Tethya","","No",2,0,0,158,0,71,0,18,0,19,108,0,419,0,0,7,904,23,1256,0,666,0,0
"OTU_1457",27,"Metazoa","ARTHROPODA","Hexanauplia","","","","","No",5,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_146",52368,"Metazoa","MOLLUSCA","Gastropoda","Littorinimorpha","Vermetidae","Cupolaconcha","Cupolaconcha meroclista","Yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33615
"OTU_147",2083,"Metazoa","PORIFERA","","","","","","No",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1099,0
"OTU_149",3592,"Plantae","RHODOPHYTA","Florideophyceae","Palmariales","Palmariaceae","","","No",3,0,0,3,0,10,0,85,1133,19,39,193,0,181,100,19,124,67,500,40,187,86,182
"OTU_151",6623,"Metazoa","ANNELIDA","Polychaeta","Phyllodocida","Syllidae","Syllis","","No",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3513,0
"OTU_152",2173,"Metazoa","CNIDARIA","","","","","","No",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,27,0,0,0,1077,0
"OTU_153",7250,"Metazoa","ARTHROPODA","","","","","","UNK",6,388,80,9,249,48,308,76,686,80,50,24,0,164,223,30,503,80,85,58,2123,216,197
"OTU_158",2528,"Metazoa","CNIDARIA","Hydrozoa","Leptothecata","","","","No",4,0,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0,0,54,1349
"OTU_159",2198,"Metazoa","ANNELIDA","Polychaeta","","Orbiniidae","Naineris","","No",2,0,0,0,0,0,0,0,0,0,0,647,1107,0,0,298,0,0,0,0,0,53,0
"OTU_1593",4543,"Metazoa","MOLLUSCA","Gastropoda","Littorinimorpha","Vermetidae","Cupolaconcha","Cupolaconcha meroclista","Yes",1,0,0,0,0,0,0,0,7,0,0,0,0,168,0,16,0,1230,0,0,1442,455,0
"OTU_16",131699,"Metazoa","MOLLUSCA","Gastropoda","Littorinimorpha","Vermetidae","","","Yes",3,1308,1436,1402,138,864,57,91,62,270,5734,447,6271,1869,1244,106,592,2391,8509,2165,4197,34466,11501
"OTU_160",1835,"Plantae","RHODOPHYTA","Florideophyceae","Rhodymeniales","Rhodymeniaceae","","","No",3,0,0,0,0,0,0,0,0,1786,0,0,0,0,0,0,0,0,0,45,0,0,0
"OTU_161",3671,"Metazoa","PORIFERA","Demospongiae","Suberitida","Halichondridae","Hymeniacidon","Hymeniacidon sp.1 JV-2020","No",2,0,0,0,0,0,0,2072,0,0,0,0,0,0,0,511,0,1016,0,0,0,0,42
"OTU_162",2337,"Metazoa","ARTHROPODA","Malacostraca","Decapoda","Palaemonidae","","","Mild",3,0,0,0,0,0,0,0,68,9,0,0,0,0,24,0,22,0,274,144,752,580,75
"OTU_164",1495,"Plantae","RHODOPHYTA","Florideophyceae","Gigartinales","Hypneaceae","Hypnea","","No",2,0,112,0,0,15,0,0,0,95,18,8,0,0,16,0,0,0,411,0,194,134,0
"OTU_165",4407,"Metazoa","ANNELIDA","Polychaeta","","","","","No",5,506,39,96,108,282,0,22,47,4,417,0,254,22,65,160,132,186,149,25,122,761,109
"OTU_168",1444,"Metazoa","PORIFERA","Demospongiae","Suberitida","Halichondridae","","","No",3,0,0,0,40,0,0,0,11,0,0,0,408,0,0,0,0,35,0,0,608,0,0
"OTU_169",1509,"Plantae","RHODOPHYTA","Florideophyceae","","","","","UNK",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1354,0,0,0,0,0,59
"OTU_17",63875,"Metazoa","MOLLUSCA","Gastropoda","Littorinimorpha","Vermetidae","Cupolaconcha","Cupolaconcha meroclista","Yes",1,240,0,0,0,909,0,69,0,71,70,1422,780,1518,62,361,310,0,30784,151,0,2486,3386
"OTU_170",1451,"Plantae","RHODOPHYTA","Florideophyceae","Corallinales","","","","Yes",4,0,0,0,0,0,0,0,51,0,0,0,0,0,43,0,254,0,0,0,0,0,699
"OTU_176",1632,"Plantae","RHODOPHYTA","","","","","","UNK",6,0,0,16,0,109,0,60,117,15,0,215,0,423,38,0,178,0,194,0,0,0,27
"OTU_177",1228,"Plantae","RHODOPHYTA","Florideophyceae","","","","","UNK",5,0,0,0,0,14,0,10,0,0,28,191,0,0,0,0,47,0,55,0,357,0,155
"OTU_178",1351,"Metazoa","ANNELIDA","Polychaeta","Phyllodocida","Nereididae","","","No",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,35,170,659,174
