Date,Day.past.1.1.16,Treatment,Salinity,Temp (in situ),TA (FTA),pH out,fCO2 out (uatm),pCO2 out (uatm),HCO3 out (mmol/kgSW),CO3 out (mmol/kgSW),CO2 out (mmol/kgSW),B Alk out (mmol/kgSW),OH out (mmol/kgSW),P Alk out (mmol/kgSW),Si Alk out (mmol/kgSW),Revelle out,WCa out,WAr out,xCO2 out (dry at 1 atm) (ppm),,Salinity.SD,Temp (in situ).SD,TA (FTA).SD,pH out.SD,fCO2 out (uatm).SD,pCO2 out (uatm).SD,HCO3 out (mmol/kgSW).SD,CO3 out (mmol/kgSW).SD,CO2 out (mmol/kgSW).SD,B Alk out (mmol/kgSW).SD,OH out (mmol/kgSW).SD,P Alk out (mmol/kgSW).SD,Si Alk out (mmol/kgSW).SD,Revelle out.SD,WCa out.SD,WAr out.SD,xCO2 out (dry at 1 atm) (ppm).SD
3/20/16,79,Control,34.84,23.530119,2218.4862,7.9567333,489.93,491.52,1804.61,167.32,14.44,74.49,4.77,0,0,10.7675,4.022,2.641,505.71,,0.051639778,0.081366367,12.48149221,0.016640568,24.28177414,24.35979383,18.89693979,4.846717102,0.707420981,2.303355041,0.17669811,0,0,0.210723753,0.116218186,0.077380733,25.06522381
3/28/16,87,Control,34.35,24.531225,2180.8289,7.9840461,447.75,449.18,1743.71,176.52,12.91,78.6,5.51,0,0,10.2992,4.267,2.807,462.99,,0.052704628,0.077634094,23.6220107,0.014527706,14.8233487,14.86470839,13.78158594,6.501247743,0.42804465,2.259793501,0.213177026,0,0,0.154772091,0.155709844,0.102853726,15.32176738
4/5/16,95,Control,34.51,24.48047,2222.4387,8.0262946,405.28,406.59,1741.82,194.62,11.68,85.38,6.05,0,0,9.8666,4.698,3.089,419.04,,0.087559504,0.081075977,15.12565249,0.002888096,5.049708462,5.080343383,14.11821518,1.502442456,0.175119007,0.635609943,0.084983659,0,0,0.053475228,0.036453928,0.024698178,5.169397128
4/12/16,102,Control,34.47,23.8921,2195.4838,7.9996017,431.5701384,432.9715249,1750.25069,179.8595968,12.64046791,80.13099068,5.394874559,0,0,10.23671684,4.34081001,2.849242555,445.7574152,,0.048304589,0.054850141,9.40618737,0.00397393,5.900754167,5.918585311,9.919144191,1.259399466,0.176975366,0.648958579,0.059314197,0,0,0.055651715,0.030006168,0.0197587,6.090549606
4/22/16,112,Control,34.6,25.241862,2176.0196,8.0068576,417.7931197,419.1260366,1709.581353,188.1108292,11.81467422,84.021149,6.205501642,0,0,9.870602465,4.545077579,2.995958155,432.5817862,,7.49E-15,0.082629913,13.44712317,0.004337966,5.511621367,5.530314633,11.75472354,2.242853247,0.176672664,0.787619236,0.101566838,0,0,0.059459058,0.054568733,0.036420705,5.651531842
4/28/16,118,Control,34.68,24.360311,2171.2237,8.0049217,419.3971954,420.7496969,1717.784638,182.6505302,12.12282919,82.42922038,5.718918488,0,0,10.02669531,4.403869693,2.895617537,433.5438829,,0.042163702,0.052358008,12.48090623,0.00830671,10.28336996,10.31657586,13.40246269,2.865442226,0.299076297,1.324686538,0.114431852,0,0,0.095950293,0.068219812,0.044957985,10.62838228
5/10/16,130,Control,34.1,24.658964,2134.7269,8.0151139,402.4189714,403.7120004,1681.231508,182.4768125,11.57898593,82.60029245,5.951367658,0,0,9.918843221,4.422561578,2.90738819,416.2199694,,7.49E-15,0.065996838,9.467654872,0.005507813,6.81266026,6.835187295,10.19742484,2.04654934,0.20847366,0.912637741,0.101382776,0,0,0.070002046,0.049918096,0.033183755,7.015987536
5/19/16,139,Control,34.26,24.890509,2167.5619,8.0234584,398.6765764,399.9539574,1696.548078,189.9963505,11.39445881,84.82005854,6.210778993,0,0,9.803096268,4.600646438,3.027477678,412.5225918,,0.051639778,0.052814301,13.38090868,0.004537928,5.592476196,5.610673797,11.67713135,2.135586241,0.167150139,0.846591148,0.078121091,0,0,0.057256475,0.050229071,0.03324677,5.773447695
5/25/16,145,Control,34.513334,24.850001,2168.0216,8.0178306,404.4360839,405.7325261,1699.445589,188.8456491,11.55506778,84.75454647,6.139994674,0,0,9.829044952,4.563032842,3.003753108,418.4508904,,0.013146093,0.064787878,17.68013661,0.018404694,17.60603651,17.66172156,5.90182107,7.562390316,0.489770631,2.799836912,0.236935621,0,0,0.167005635,0.182056775,0.119476923,18.25262277
5/31/16,151,Control,34.2,23.84361,2144.5759,8.0019467,419.5817289,420.943383,1709.277893,175.1910229,12.32069619,79.54951943,5.376631562,0,0,10.20426786,4.23686883,2.779149595,433.3460488,,7.49E-15,0.118696975,15.95201413,0.010744487,12.49661324,12.53602652,15.25778884,3.361312383,0.346581046,1.452225795,0.101405423,0,0,0.107357712,0.080693482,0.052217898,12.95816387
