Sample,ARMS_Unit,HeaderTank,Groups,Treatment,Temperature,CO2
Acid1,ArmsMeso6,3,2,Acidified,NoTemp,YesCO2
Acid15,ArmsMeso7,3,2,Acidified,NoTemp,YesCO2
Acid25,ArmsMeso8,5,2,Acidified,NoTemp,YesCO2
Acid36,ArmsMeso9,5,2,Acidified,NoTemp,YesCO2
Acid39,ArmsMeso10,5,2,Acidified,NoTemp,YesCO2
Acid7,ArmsMeso11,3,2,Acidified,NoTemp,YesCO2
AcidHeat16,ArmMeso17,4,4,AcidifiedHeated,YesTemp,YesCO2
AcidHeat20,ArmMeso18,4,4,AcidifiedHeated,YesTemp,YesCO2
AcidHeat21,ArmMeso19,6,4,AcidifiedHeated,YesTemp,YesCO2
AcidHeat24,ArmMeso20,6,4,AcidifiedHeated,YesTemp,YesCO2
AcidHeat33,ArmMeso21,6,4,AcidifiedHeated,YesTemp,YesCO2
AcidHeat4,ArmMeso22,4,4,AcidifiedHeated,YesTemp,YesCO2
Control10,ArmMeso1,1,1,Control,NoTemp,NoCO2
Control17,ArmMeso2,1,1,Control,NoTemp,NoCO2
Control23,ArmMeso3,7,1,Control,NoTemp,NoCO2
Control26,ArmMeso4,7,1,Control,NoTemp,NoCO2
Control9,ArmMeso5,1,1,Control,NoTemp,NoCO2
Heat18,ArmMeso12,2,3,Heated,YesTemp,NoCO2
Heat22,ArmMeso13,8,3,Heated,YesTemp,NoCO2
Heat3,ArmMeso14,2,3,Heated,YesTemp,NoCO2
Heat31,ArmMeso15,8,3,Heated,YesTemp,NoCO2
Heat8,ArmMeso16,2,3,Heated,YesTemp,NoCO2
