Sample,ARMS_Unit,HeaderTank,Groups,Treatment,Temperature,CO2
Acid1,6,3,2,Acidified,NoTemp,YesCO2
Acid15,7,3,2,Acidified,NoTemp,YesCO2
Acid25,8,5,2,Acidified,NoTemp,YesCO2
Acid36,9,5,2,Acidified,NoTemp,YesCO2
Acid39,10,5,2,Acidified,NoTemp,YesCO2
Acid7,11,3,2,Acidified,NoTemp,YesCO2
AcidHeat16,17,4,4,AcidifiedHeated,YesTemp,YesCO2
AcidHeat20,18,4,4,AcidifiedHeated,YesTemp,YesCO2
AcidHeat21,19,6,4,AcidifiedHeated,YesTemp,YesCO2
AcidHeat24,20,6,4,AcidifiedHeated,YesTemp,YesCO2
AcidHeat33,21,6,4,AcidifiedHeated,YesTemp,YesCO2
AcidHeat4,22,4,4,AcidifiedHeated,YesTemp,YesCO2
Control10,1,1,1,Control,NoTemp,NoCO2
Control17,2,1,1,Control,NoTemp,NoCO2
Control23,3,7,1,Control,NoTemp,NoCO2
Control26,4,7,1,Control,NoTemp,NoCO2
Control9,5,1,1,Control,NoTemp,NoCO2
Heat18,12,2,3,Heated,YesTemp,NoCO2
Heat22,13,8,3,Heated,YesTemp,NoCO2
Heat3,14,2,3,Heated,YesTemp,NoCO2
Heat31,15,8,3,Heated,YesTemp,NoCO2
Heat8,16,2,3,Heated,YesTemp,NoCO2
